2023-05-02 12:54:25,135 INFO    StreamThr :20056 [internal.py:wandb_internal():87] W&B internal server running at pid: 20056, started at: 2023-05-02 12:54:25.135040
2023-05-02 12:54:25,737 DEBUG   HandlerThread:20056 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-05-02 12:54:26,653 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_created():278] file/dir created: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/wandb-summary.json
2023-05-02 12:54:26,654 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_created():278] file/dir created: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/conda-environment.yaml
2023-05-02 12:54:26,654 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_created():278] file/dir created: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/requirements.txt
2023-05-02 12:54:27,764 DEBUG   HandlerThread:20056 [system_info.py:_save_conda():86] Saving conda packages done
2023-05-02 12:54:27,765 INFO    HandlerThread:20056 [system_monitor.py:probe():219] Finished publishing system info
2023-05-02 12:54:27,768 DEBUG   SenderThread:20056 [sender.py:send():336] send: files
2023-05-02 12:54:27,768 INFO    SenderThread:20056 [sender.py:_save_file():1332] saving file wandb-metadata.json with policy now
2023-05-02 12:54:27,771 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: stop_status
2023-05-02 12:54:27,771 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: stop_status
2023-05-02 12:54:28,008 DEBUG   SenderThread:20056 [sender.py:send():336] send: telemetry
2023-05-02 12:54:28,438 INFO    wandb-upload_0:20056 [upload_job.py:push():138] Uploaded file /tmp/tmp1l1poxxkwandb/hgu61anf-wandb-metadata.json
2023-05-02 12:54:28,654 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/conda-environment.yaml
2023-05-02 12:54:28,654 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_created():278] file/dir created: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/wandb-metadata.json
2023-05-02 12:54:29,655 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_created():278] file/dir created: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:54:31,005 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:54:31,655 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:54:36,006 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:54:41,007 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:54:42,771 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: stop_status
2023-05-02 12:54:42,772 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: stop_status
2023-05-02 12:54:43,551 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:54:44,122 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:54:45,658 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:54:46,203 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:54:51,203 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:54:56,209 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:54:56,661 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/config.yaml
2023-05-02 12:54:57,144 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:54:57,145 DEBUG   SenderThread:20056 [sender.py:send():336] send: history
2023-05-02 12:54:57,145 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: summary_record
2023-05-02 12:54:57,147 INFO    SenderThread:20056 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-05-02 12:54:57,648 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:54:57,661 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/wandb-summary.json
2023-05-02 12:54:57,785 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: stop_status
2023-05-02 12:54:57,786 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: stop_status
2023-05-02 12:54:59,662 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:55:02,017 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:07,018 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:11,638 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:55:11,638 DEBUG   SenderThread:20056 [sender.py:send():336] send: history
2023-05-02 12:55:11,638 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: summary_record
2023-05-02 12:55:11,640 INFO    SenderThread:20056 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-05-02 12:55:11,665 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/wandb-summary.json
2023-05-02 12:55:12,106 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:55:12,107 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:12,786 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: stop_status
2023-05-02 12:55:12,786 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: stop_status
2023-05-02 12:55:13,665 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:55:18,035 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:23,036 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:25,724 DEBUG   SystemMonitor:20056 [system_monitor.py:_start():161] Starting system metrics aggregation loop
2023-05-02 12:55:25,725 DEBUG   SenderThread:20056 [sender.py:send():336] send: stats
2023-05-02 12:55:26,430 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:55:26,431 DEBUG   SenderThread:20056 [sender.py:send():336] send: history
2023-05-02 12:55:26,431 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: summary_record
2023-05-02 12:55:26,431 INFO    SenderThread:20056 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-05-02 12:55:26,668 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/wandb-summary.json
2023-05-02 12:55:27,025 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:55:27,787 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: stop_status
2023-05-02 12:55:27,787 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: stop_status
2023-05-02 12:55:29,013 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:29,669 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:55:34,014 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:39,014 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:39,553 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:55:39,553 DEBUG   SenderThread:20056 [sender.py:send():336] send: history
2023-05-02 12:55:39,553 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: summary_record
2023-05-02 12:55:39,554 INFO    SenderThread:20056 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-05-02 12:55:39,672 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/wandb-summary.json
2023-05-02 12:55:40,110 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: partial_history
2023-05-02 12:55:41,672 INFO    Thread-13 :20056 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files/output.log
2023-05-02 12:55:42,786 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: stop_status
2023-05-02 12:55:42,804 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: stop_status
2023-05-02 12:55:44,034 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:49,035 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status_report
2023-05-02 12:55:51,731 INFO    MainThread:20056 [internal.py:handle_exit():77] Internal process exited
